epoch,train_loss,val_loss,val_acc,val_auroc
0,0.4747747870796936,0.44205986851904494,0.839521139566601,0.8825461370178469
1,0.4000578667155033,0.39517563858760596,0.8540687983027732,0.8988688543465744
2,0.3747389927915162,0.38051254660058226,0.8602818608880133,0.9065406563039724
3,0.36177858055215983,0.3682897703126265,0.8633126231247159,0.9071558779504894
4,0.35860020488021876,0.377686074799273,0.859827246552508,0.9140118364997122
5,0.3524263383339961,0.3592299730204365,0.8637672374602212,0.9097817386298215
6,0.3520752877371838,0.3565667197548597,0.8640703136838915,0.9095655497985033
7,0.3455393631556013,0.36652743214819533,0.8602818608880133,0.9155373172135867
8,0.3483920042434232,0.3663996866136306,0.8611910895590241,0.9159133218192287
9,0.34578162762301856,0.3590647868630308,0.8633126231247159,0.9147268163500288
10,0.347849397632024,0.35587184509376196,0.8637672374602212,0.9129462751871041
11,0.3407248364450137,0.35410470846639036,0.8660403091377481,0.9100686701208982
12,0.3413815201593359,0.35454305143388115,0.8636156993483861,0.9131270926885433
13,0.339687891739176,0.3536273111880124,0.8648280042430672,0.9103083937823834
14,0.3388582955690781,0.3585977942352133,0.8627064706773754,0.9158252619458837
15,0.3386400162344955,0.3540038063157994,0.8636156993483861,0.9142325388601036
16,0.33918038301101,0.3556614608579665,0.8637672374602212,0.9152225676453656
17,0.3355830299220206,0.35410257299157016,0.8636156993483861,0.914186804835924
18,0.33898574722232755,0.3523241833568179,0.8657372329140779,0.9127948416810593
19,0.3379179287415632,0.35208116373088727,0.8651310804667374,0.9123731030512379
20,0.3382806739532635,0.35289337187395764,0.8640703136838915,0.9139639378238342
21,0.3357576324334468,0.35367835184031676,0.8645249280193968,0.9157877720207254
22,0.3380315433823533,0.3520521169215337,0.8655856948022428,0.9148892112838227
23,0.3393196715091391,0.35201419810667817,0.8648280042430672,0.9149284513529073
