epoch,train_loss,val_loss,val_acc,val_auroc
0,0.7236126040144208,0.6799606783387516,0.6199424155175026,0.7297020339272866
1,0.7114176606929633,0.6723397999645129,0.6676769207455675,0.7356623640358082
2,0.6987990431396107,0.6615663734525058,0.6887407182906501,0.7382081113093197
3,0.6868872363416693,0.6556477923161298,0.692226094862858,0.7410808546855832
4,0.6845799003212465,0.6494282969454416,0.6943476284285498,0.7439291021728334
5,0.6796950290900032,0.6462444681744808,0.6961660857705713,0.7459982843271459
6,0.6806727186317316,0.6466868990640746,0.6932868616457039,0.7475677023144293
7,0.6719389226621236,0.6377543371217614,0.6944991665403849,0.7478698182789284
8,0.6640395399548281,0.6392691760085571,0.6954083952113956,0.7489916819645895
9,0.6648997287711225,0.6277688285549006,0.701772995908471,0.7489461484297175
10,0.6584388861910541,0.6256751661536224,0.7016214577966359,0.7496666157536425
11,0.6565035095556628,0.6219670006245768,0.7014699196848008,0.7500335257461399
12,0.6522349728058822,0.6187113475611687,0.7014699196848008,0.7502497139744724
13,0.6504042543756509,0.6143479293034751,0.7040460675859979,0.750346448720498
14,0.6453131266047799,0.6111690881379104,0.7031368389149871,0.7505078814322121
15,0.6447216822606431,0.6126611625485248,0.7005606910137899,0.751030796615917
16,0.6425933931104738,0.6070407185884727,0.7025306864676466,0.7509721986069046
17,0.6410158147846574,0.6037875153942891,0.7032883770268222,0.7510392500991844
18,0.6405556856691702,0.6019818831581223,0.7020760721321412,0.7510671562001976
19,0.6333862986595707,0.599671907362784,0.7025306864676466,0.7510740726865075
20,0.6327483952632545,0.5981113522282909,0.7031368389149871,0.7509143690963704
21,0.6340741844480011,0.5993659639018903,0.7038945294741628,0.7511543807775476
22,0.6289385259467591,0.5939808021911908,0.701772995908471,0.7509725828561439
23,0.6252355006250907,0.5929230691303103,0.7022276102439764,0.75095500345344
24,0.6259102588585785,0.5895577176517927,0.7002576147901197,0.7507672496688251
25,0.6241272050316613,0.5899612015170533,0.7022276102439764,0.7509857433925943
26,0.6215364179262195,0.5895163531302683,0.7025306864676466,0.7509808442147915
