epoch,train_loss,val_loss,val_acc,val_auroc
0,0.6660724250432429,0.6090941101804902,0.7570844067282921,0.6403176799122561
1,0.6247287540426989,0.58169680527619,0.7561751780572814,0.672607355453402
2,0.6103173246082785,0.5669160702134971,0.7529928777087438,0.6802117891226149
3,0.603086647564125,0.5609053189618278,0.7489013486891953,0.6841580207501996
4,0.5984603671971708,0.5554767209194812,0.7464767388998333,0.6859363614282245
5,0.5952624752923571,0.549462784490977,0.7463252007879981,0.6860353676695778
6,0.593112750884866,0.5483619850645428,0.7446582815578118,0.6875921858113936
7,0.5915296522236095,0.544845430755962,0.7431429004394605,0.6876947751357674
8,0.5898434128616642,0.5425950773088548,0.7431429004394605,0.6879116459501606
9,0.5881648095842295,0.5404019969252858,0.7417790574329444,0.6881318484031519
10,0.586499357458681,0.5359056729731334,0.7443552053341416,0.6877768717397088
11,0.5860538893129995,0.5372390423349981,0.7408698287619336,0.6885092664813018
12,0.5849755497332982,0.5343046666709089,0.7417790574329444,0.6884550173471506
13,0.584008743551043,0.532617887198374,0.7422336717684498,0.6884892766497144
14,0.5833750945203787,0.5326234320651981,0.7411729049856038,0.6888216233151337
15,0.5820701234039052,0.530394926272047,0.7410213668737687,0.6885252960632353
16,0.5817357340310386,0.529332576728008,0.7420821336566147,0.6884542001527777
17,0.5811818804379479,0.5295929288047609,0.7410213668737687,0.6887920157343861
18,0.5807243065688499,0.5290073904056841,0.7405667525382634,0.688583254002618
19,0.5798107561016734,0.5291298503387262,0.7393544476435824,0.6887169595742745
