epoch,train_loss,val_loss,val_acc,val_auroc
0,0.6705961267671279,0.5858585144068404,0.7502651916957115,0.641552683221932
1,0.6281539051678589,0.5685678654899198,0.7499621154720412,0.6573002277209705
2,0.6168850338861859,0.5543823620824674,0.7510228822548871,0.6634462347345796
3,0.6102964774119636,0.5468841493626511,0.7510228822548871,0.6688000752512062
4,0.6074503239534199,0.5405594986448651,0.7505682679193817,0.6687519980916689
5,0.6039942327476411,0.536578145058232,0.7505682679193817,0.668879568559751
6,0.6015586208687795,0.5332381422184763,0.7502651916957115,0.6728584146095544
7,0.5988599120736597,0.5299858419005302,0.7511744203667222,0.6730383658192298
8,0.5978928211331819,0.5282643654614185,0.7513259584785573,0.6712186883665571
9,0.5952323277008535,0.5274048639185629,0.7510228822548871,0.6735337081138507
10,0.5941383983472649,0.5269319022997055,0.750871344143052,0.673044206394877
11,0.5934597065414197,0.5247795672502675,0.7513259584785573,0.6721154319074951
12,0.5919609745024382,0.5246393710559996,0.7510228822548871,0.6732796738130722
13,0.5911672852759158,0.5243485417216451,0.7505682679193817,0.6729306533083479
14,0.5909389152775908,0.5249948820249115,0.7493559630247008,0.6733142254290057
15,0.5891188430492279,0.5222298284970841,0.7513259584785573,0.6747685902448861
16,0.588668723285406,0.5228744408346917,0.7507198060312168,0.6729914567748219
17,0.5878307305002788,0.5233758170417916,0.749659039248371,0.671271991304305
18,0.5878877480499622,0.5219852010631836,0.7514774965903925,0.6705360172930223
19,0.586617105596203,0.5219899536461735,0.7502651916957115,0.6727953363925654
20,0.5864406942285516,0.5205224436112363,0.7510228822548871,0.6719707085909334
21,0.5858764918866817,0.5199545117323463,0.750871344143052,0.6703809038997832
22,0.5866313408906878,0.5197459875697312,0.750871344143052,0.6718280141059124
23,0.5859481629614409,0.519418535385733,0.7511744203667222,0.6704805625642464
24,0.5848646681766507,0.5202797581380308,0.7499621154720412,0.6717815968994535
25,0.5854077416519604,0.5205248871216686,0.7493559630247008,0.6716812004780666
26,0.5835335175846661,0.5187170634144707,0.7505682679193817,0.6717445246140302
27,0.5838394391601144,0.5196098713716569,0.7492044249128655,0.6726881157196326
28,0.5842361101319815,0.5184501711392623,0.7502651916957115,0.672719347429409
29,0.5826259375961343,0.519308408980551,0.7490528868010304,0.6731132481470006
30,0.5828655644842559,0.5178356622634358,0.7504167298075466,0.6738876469980671
