epoch,train_loss,val_loss,val_acc,val_auroc
0,0.6571504756760861,0.6252108416533466,0.6369146840430369,0.3007825507333123
1,0.6237669299634808,0.6000227029982219,0.6604030913774814,0.3347945658926329
2,0.6160039387068652,0.593007598000596,0.6619184724958327,0.3503558769376722
3,0.612817059657595,0.5894427067186818,0.6647976966207001,0.3821152468752088
4,0.6108328103838517,0.58358409907316,0.6804061221397182,0.3764355783093884
5,0.6103867023510361,0.5829145156500791,0.6807091983633884,0.3854265919780516
6,0.6094128430603236,0.5820355589488434,0.6817699651462342,0.38932455933342525
7,0.6092314501841297,0.578515063164577,0.6834368843764207,0.38658002282612147
8,0.6092261312350773,0.5807086314048021,0.6817699651462342,0.38766474661487127
9,0.6085196160009222,0.5829743506565548,0.6826791938172451,0.3920070919091474
10,0.60882362571155,0.5818540981672518,0.6828307319290802,0.39081970183304915
11,0.6088157864678428,0.5785761263934496,0.6834368843764207,0.3843155978430912
12,0.6081751552851458,0.575649250852536,0.679042279133202,0.3824701183437203
13,0.6084414909989351,0.5800642270647336,0.6829822700409153,0.38933914849379736
14,0.6082722277311795,0.5806299330050484,0.6829822700409153,0.3901912343198563
15,0.6081177176517291,0.5771680368873491,0.6841945749355963,0.38628074788767686
16,0.6081842826810601,0.5794241424400999,0.6831338081527504,0.3898921565322276
17,0.6082087379411272,0.5815263957141981,0.6820730413699045,0.38781280687756675
18,0.6081046513182266,0.5812752840825691,0.6823761175935747,0.3898676112556555
19,0.6082595074279757,0.5760660707309293,0.6797999696923777,0.37924404096872816
20,0.6080693124749296,0.5807122413923134,0.6817699651462342,0.38369467134860424
21,0.6083051477404937,0.5788326674220164,0.6811638126988938,0.3827846724703924
22,0.6080258772452323,0.5752476127712378,0.680254584027883,0.37629111604908194
23,0.6080063773585298,0.5778914592648694,0.683891498711926,0.38306235939450256
24,0.6081237585675736,0.5776988243511146,0.6840430368237612,0.3851848850778322
