epoch,train_loss,val_loss,val_acc,val_auroc
0,0.7664733290545849,0.6303895428462866,0.6729807546597969,0.6581150711707991
1,0.6529234152144421,0.6394794888705227,0.6473708137596605,0.6591407393633009
2,0.646645926827643,0.6079912171939735,0.6767692074556751,0.6578795469632135
3,0.6454305736237104,0.617866579737333,0.6643430822851947,0.6577305672257551
4,0.6422478718809295,0.6079669414930117,0.6837399606000909,0.656486835077917
5,0.641906972391386,0.6106464513812504,0.6684346113047431,0.6575122329878761
6,0.6386664064838445,0.601908779881329,0.6852553417184422,0.6563692621719039
7,0.6388781055715486,0.6426427313406768,0.6566146385816033,0.6582841058729154
8,0.639524970719048,0.6571862984830854,0.6541900287922412,0.6584272475074544
9,0.6387549402370907,0.6001660725188483,0.6866191847249583,0.6561168182771542
10,0.6381875508426627,0.6253765175280779,0.664646158508865,0.6576433740775257
11,0.6371872410446898,0.599137555434679,0.6872253371722988,0.6557965334642222
12,0.6337630801588175,0.620936284698958,0.6878314896196394,0.6553484590651684
13,0.6364095933257784,0.5967125164991004,0.6758599787846643,0.6568433918080605
14,0.6334887465611969,0.6469258057527387,0.659948477041976,0.6583382164379354
15,0.6340472844265179,0.6955696582649672,0.6458554326413093,0.6586963408068258
16,0.6331034795066266,0.5917164112044241,0.6852553417184422,0.6564645097399016
